> Ready on http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access locally via http://localhost:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
> Access on network via http://192.168.1.90:\\.\pipe\db2841ee-e5de-44fd-b92b-d8700ff294e7
2025-01-11T13:06:15.598Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:06:15.609Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:06:15.652Z - GET /customers?_rsc=1wtp7
2025-01-11T13:06:15.654Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:06:15.656Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:06:15.658Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:06:15.659Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:06:15.661Z - GET /favicon.ico
2025-01-11T13:06:15.665Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:06:15.669Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:06:15.670Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:06:15.761Z - GET /
2025-01-11T13:06:15.804Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:06:15.805Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
2025-01-11T13:06:15.806Z - GET /_next/static/chunks/fd9d1056-77540d000af5c602.js
2025-01-11T13:06:15.806Z - GET /_next/static/chunks/main-app-17d6e2c17441c568.js
2025-01-11T13:06:15.807Z - GET /_next/static/chunks/972-a66b60d967c1a951.js
2025-01-11T13:06:15.807Z - GET /_next/static/chunks/117-1a2c1c91a94a8ba1.js
2025-01-11T13:06:15.811Z - GET /_next/static/chunks/app/page-e70b07fe1f169291.js
2025-01-11T13:06:15.812Z - GET /_next/static/chunks/569-fab4c67d1d71a58a.js
2025-01-11T13:06:15.813Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:06:15.825Z - GET /_next/static/media/a34f9d1faa5f3315-s.p.woff2
2025-01-11T13:06:15.868Z - GET /customers?_rsc=1wtp7
2025-01-11T13:06:15.869Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:06:15.871Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:06:15.872Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:06:15.873Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:06:15.875Z - GET /favicon.ico
2025-01-11T13:06:15.877Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:06:15.881Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:06:15.882Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:06:16.657Z - GET /
2025-01-11T13:06:16.715Z - GET /customers?_rsc=1wtp7
2025-01-11T13:06:16.717Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:06:16.718Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:06:16.719Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:06:16.720Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:06:16.726Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:06:16.728Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:06:16.729Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:06:17.681Z - GET /api/customers
2025-01-11T13:06:22.785Z - GET /api/customers
2025-01-11T13:06:29.208Z - GET /
2025-01-11T13:06:29.220Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:06:29.281Z - GET /_next/static/chunks/app/layout-949fd4680c36fd51.js
2025-01-11T13:06:29.570Z - GET /customers?_rsc=1wtp7
2025-01-11T13:06:29.573Z - GET /inventory?_rsc=1wtp7
2025-01-11T13:06:29.576Z - GET /purchases?_rsc=1wtp7
2025-01-11T13:06:29.578Z - GET /accounting?_rsc=1wtp7
2025-01-11T13:06:29.580Z - GET /customers/new?_rsc=1wtp7
2025-01-11T13:06:29.582Z - GET /_next/static/chunks/736-a58d37d1b8d6336e.js
2025-01-11T13:06:29.583Z - GET /_next/static/chunks/app/customers/page-bc7f0b2a4a66e32f.js
2025-01-11T13:06:29.585Z - GET /inventory/new?_rsc=1wtp7
2025-01-11T13:06:29.588Z - GET /purchases/new?_rsc=1wtp7
2025-01-11T13:06:29.590Z - GET /accounting/invoice?_rsc=1wtp7
2025-01-11T13:06:30.750Z - GET /api/customers
2025-01-11T13:07:30.696Z - GET /
2025-01-11T13:07:30.772Z - GET /_next/static/css/3d14343911c9c70f.css
2025-01-11T13:07:30.781Z - GET /_next/static/chunks/webpack-19a384338f044d80.js
